date,open,high,low,close,volume
2024-01-01,97,319,-81,-75,7827
2024-01-02,581,818,316,480,8993
2024-01-03,210,300,16,289,4374
2024-01-04,478,591,345,369,28341
2024-01-05,124,301,-69,159,13940
2024-01-06,510,600,482,582,13117
2024-01-07,302,308,302,308,11509
2024-01-08,164,243,152,241,22768
2024-01-09,425,605,248,509,24367
2024-01-10,583,622,471,488,19446
2024-01-11,567,818,456,497,9599
2024-01-12,445,484,417,439,14114
2024-01-13,438,572,147,215,22004
2024-01-14,524,543,510,539,24334
2024-01-15,141,226,-84,189,32372
2024-01-16,341,382,87,120,10435
2024-01-17,99,194,-151,117,5038
2024-01-18,229,424,46,156,19144
2024-01-19,562,623,508,568,16528
2024-01-20,200,276,-86,57,17669
2024-01-21,582,769,554,618,3458
2024-01-22,248,479,76,306,31729
2024-01-23,240,291,150,287,7367
2024-01-24,399,598,197,294,22856
2024-01-25,211,422,-34,-20,19211
2024-01-26,305,312,285,286,25812
2024-01-27,471,498,377,487,22588
2024-01-28,506,696,216,691,33113
2024-01-01,576,694,436,491,8652
2024-01-02,95,358,-31,234,25676
2024-01-03,424,430,147,421,6848
2024-01-04,270,490,182,182,23220
2024-01-05,130,211,-160,-121,7605
2024-01-06,192,482,-77,231,32982
2024-01-07,308,386,260,377,33632
2024-01-08,591,846,511,775,25237
2024-01-09,217,308,203,207,25752
2024-01-10,526,814,429,753,12702
2024-01-11,407,574,278,279,11114
2024-01-12,568,841,370,557,23346
2024-01-13,321,577,108,321,23068
2024-01-14,429,531,348,356,28196
2024-01-15,407,430,192,382,7397
2024-01-16,195,285,133,228,22546
2024-01-17,513,769,356,465,12179
2024-01-18,251,492,238,399,3303
2024-01-19,298,537,201,314,29348
2024-01-20,244,506,184,447,10088
2024-01-21,370,396,148,162,33248
2024-01-22,534,578,423,428,9036
2024-01-23,577,609,490,512,19209
2024-01-24,347,607,228,311,31672
2024-01-25,576,705,388,475,7042
2024-01-26,523,623,442,586,6181
2024-01-27,213,325,-12,118,1813
2024-01-28,398,440,242,269,6483
2024-01-01,460,718,429,516,10080
2024-01-02,245,290,60,119,15777
2024-01-03,162,169,-59,-22,9810
2024-01-04,307,601,21,410,33672
2024-01-05,405,632,329,478,21880
2024-01-06,424,675,278,372,17627
2024-01-07,176,336,29,32,20336
2024-01-08,278,302,263,284,27492
2024-01-09,205,283,170,252,15258
2024-01-10,401,408,327,393,22074
2024-01-11,450,466,206,217,32141
2024-01-12,588,748,370,550,8369
2024-01-13,145,168,-16,146,19050
2024-01-14,485,496,262,425,4889
2024-01-15,264,413,220,248,3365
2024-01-16,350,632,136,609,14153
2024-01-17,517,594,389,406,27970
2024-01-18,271,432,162,255,15035
2024-01-19,168,387,22,274,25349
2024-01-20,481,492,195,249,15357
2024-01-21,97,99,-72,-56,2934

2024-01-22,209,478,41,420,19820
2024-01-23,272,332,263,263,8334
2024-01-24,421,636,292,298,2203
2024-01-25,210,493,-61,186,1824
2024-01-26,109,300,-151,-18,4633
2024-01-27,471,567,283,476,16115
2024-01-28,328,394,266,322,7185
2024-01-01,495,771,254,420,30257
2024-01-02,170,226,110,146,26580
2024-01-03,98,132,58,102,17787
2024-01-04,560,827,472,721,11643
2024-01-05,480,698,307,356,19989
2024-01-06,331,487,86,387,5242
2024-01-07,525,650,396,629,31186
2024-01-08,424,436,376,417,4781
2024-01-09,404,522,369,467,8331
2024-01-10,233,447,153,177,27172
2024-01-11,425,607,197,519,21967
2024-01-12,540,756,405,412,22245
2024-01-13,183,367,133,231,30740
2024-01-14,522,667,372,477,30269
2024-01-15,283,461,127,134,17975
2024-01-16,389,636,129,152,19445
2024-01-17,155,308,-107,231,20979
2024-01-18,266,373,180,196,28376
2024-01-19,164,298,113,244,13469
2024-01-20,448,536,266,414,30131
2024-01-21,172,303,37,220,11515
2024-01-22,518,726,438,644,30645
2024-01-23,206,482,148,330,6669
2024-01-24,324,531,252,527,25563
2024-01-25,488,564,488,553,24677
2024-01-26,268,332,247,259,15889
2024-01-27,146,403,135,206,24717
2024-01-28,474,732,420,672,26685
2024-01-01,269,520,155,357,33440
2024-01-02,441,478,404,473,25502
2024-01-03,543,835,435,469,2833
2024-01-04,229,440,76,132,33315
2024-01-05,352,436,196,368,8506
2024-01-06,159,222,117,221,28226
2024-01-07,351,515,296,440,31638
2024-01-08,562,792,437,743,14165
2024-01-09,593,709,418,492,21944
2024-01-10,105,404,-98,339,31032
2024-01-11,581,602,312,533,28718
2024-01-12,403,411,121,278,20984
2024-01-13,463,568,306,528,32697
2024-01-14,239,267,3,257,4730
2024-01-15,129,174,106,139,20918
2024-01-16,199,348,151,339,5569
2024-01-17,589,768,446,686,25425
2024-01-18,135,147,-149,-120,2481
2024-01-19,444,647,405,405,7887
2024-01-20,548,659,459,573,9388
2024-01-21,389,534,334,349,27814
2024-01-22,235,347,194,334,18710
2024-01-23,499,524,278,288,27090
