date,open,high,low,close,volume
2024-01-01,2605,2738,2597,2646,22955
2024-01-02,2475,2768,2292,2687,17575
2024-01-03,2525,2742,2488,2683,12202
2024-01-04,2495,2614,2436,2521,4118
2024-01-05,2672,2691,2545,2625,28422
2024-01-06,2408,2521,2114,2444,10193
2024-01-07,2365,2563,2216,2404,2799
2024-01-08,2287,2529,2127,2427,10242
2024-01-09,2327,2612,2211,2582,7246
2024-01-10,2457,2459,2408,2447,13579
2024-01-11,2263,2549,2038,2198,20018
2024-01-12,2255,2468,2101,2232,21710
2024-01-13,2437,2441,2407,2424,3080
2024-01-14,2647,2859,2468,2502,17252
2024-01-15,2300,2498,2036,2430,24474
2024-01-16,2221,2451,2118,2305,28756
2024-01-17,2275,2512,2188,2212,7645
2024-01-18,2521,2645,2450,2526,1207
2024-01-19,2365,2455,2323,2343,19488
2024-01-20,2281,2516,2065,2302,15624
2024-01-21,2217,2404,2130,2273,32626
2024-01-22,2264,2334,2108,2259,4928
2024-01-23,2641,2651,2595,2625,31316
2024-01-24,2482,2542,2188,2496,3687
2024-01-25,2454,2620,2347,2399,20400
2024-01-26,2273,2388,2002,2270,5781
2024-01-27,2339,2547,2195,2330,32555
2024-01-28,2323,2463,2089,2144,32432
2024-01-01,2573,2715,2352,2478,21893
2024-01-02,2376,2519,2167,2207,4556
2024-01-03,2409,2571,2297,2518,18817
2024-01-04,2512,2645,2485,2610,16003
2024-01-05,2399,2405,2194,2366,29654
2024-01-06,2241,2461,2187,2439,12034
2024-01-07,2676,2918,2559,2580,18178
2024-01-08,2532,2685,2473,2680,18084
2024-01-09,2589,2685,2411,2668,27158
2024-01-10,2651,2760,2409,2584,5815
2024-01-11,2516,2746,2320,2493,29052
2024-01-12,2495,2747,2435,2597,31465
2024-01-13,2612,2665,2372,2403,17957
2024-01-14,2600,2858,2599,2791,2394
2024-01-15,2612,2789,2394,2421,1177
2024-01-16,2437,2643,2358,2617,10195
2024-01-17,2437,2579,2222,2420,24515
2024-01-18,2261,2274,2097,2116,22276
2024-01-19,2345,2392,2273,2358,31486
2024-01-20,2441,2584,2184,2363,28660
2024-01-21,2466,2559,2435,2554,28030
